id	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	y1	y2	y3	y4	y5
478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
502	8.37037	7	9	9.08333	10	9	8.25	6.16667	9.66667	7.5	10	8.66667	10	9.66667	10	10	0	9	10	10	8	10	9.5	0	7	0	0	5.5	6.5	8	9.35	2	7.98
535	9.81481	7	10	8.66667	9	9	9.41667	7.16667	8.66667	9.5	9.5	10	9.5	8.66667	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7.5	7.5	9.44	2	8.21
539	9.81481	0	7	8.91667	8	6.83333	7.08333	5.66667	8.33333	8	7.25	7.33333	6	7.83333	10	10	7.16667	10	0	1	2.6	1	0	0	0	5.5	0	2	7	10.5	7.96	1.64	8.4
559	5	4	6	8.33333	9	6.5	7.5	7.5	9.66667	7	8	4	9	8.66667	9.16667	0	10	9	10	9	9.16667	8.33333	1	0	0	0	0	0	2	6	8.12	1.64	5.34
563	7.59259	10	8	7.66667	8	9	9.75	6.16667	9.66667	9.5	10	10	10	9.66667	10	10	10	10	10	10	10	9.66667	10	9.5	9	10	10	9	6	8.5	9.56	2	8.02
564	7.59259	10	7.5	9.66667	6.66667	9	8.16667	7	10	10	7	9.16667	9	9.5	10	10	10	5.5	6.5	10	5.66667	3	9	2.16667	6	10	7.33333	0	9	10.25	9.21	2	9.49
566	6.85186	0	3	8.33333	8	7.33333	8.66667	9.66667	8	8	8.66667	3.66667	7	0	8.5	9	9	10	10	4.5	0	6	0	1	3.5	0	0.66667	0	2	3	8.05	1	4.27
580	1.7963	6	6.5	6.58333	6	7.83333	8.75	7.66667	6.33333	5	7.25	7.83333	4	8.66667	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	6.75	7.34	2	6.13
603	6.2963	0	4	8.25	8	6.33333	9	7.16667	9.66667	6	9.5	6.66667	8.5	10	4.86111	5.25714	10	7	8	5	6.33333	5	8	10	6.25	6	8.5	9	7	7.25	8.31	2	7.62
610	4.85186	2	4.5	0	5.16667	4	6.75	2.16667	4	8	6.16667	5.16667	7.5	3.16667	0	0	6	9	10	9	8.16667	0	10	0	0	0	0	0	3	2	5.61	1.64	3.74
616	0	4	10	5.66667	6	5.5	0	7	7.33333	7.5	7.25	7.33333	6	6.83333	9.5	10	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	7.09	1.64	2.54
623	7.96297	0	4.5	7.41667	7	8	8.66667	8.66667	8.66667	6.5	9.5	10	9.5	9.5	10	0	10	10	10	10	10	10	0	10	10	10	10	10	2	5.5	8.79	1.45	5.35
633	8.7963	10	8.5	9.66667	9	10	9.75	9.5	8.66667	10	10	8.66667	10	9	7.88889	9.85714	7.66667	10	8	7.5	9.5	8.16667	0	6.16667	9.5	0	10	8.16667	6.5	9	9.69	1.91	8.36
635	7.59259	9.5	8.5	7.08333	6.66667	7.16667	5.75	9.66667	5.5	10	9.66667	10	10	9.16667	10	9	0	0	5.5	6	9.16667	4.66667	0	0	3.5	2	0	0	6	9	9.13	2	8.04
638	9.25926	8	9.5	7.66667	10	9	9.41667	6.5	8.66667	9.5	9.5	10	9.5	8.66667	10	10	10	10	10	10	10	10	10	10	10	10	10	10	6	8.75	9.44	2	8.06
