day	bugsPerDay	cummBugs
638	0	2974
639	12	2986
640	7	2993
641	23	3016
642	17	3033
643	27	3060
644	1	3061
645	0	3061
646	2	3063
647	12	3075
648	6	3081
649	10	3091
650	13	3104
651	0	3104
652	0	3104
653	1	3105
654	3	3108
655	0	3108
656	3	3111
657	5	3116
658	0	3116
659	0	3116
660	2	3118
661	8	3126
662	14	3140
663	36	3176
664	10	3186
665	0	3186
666	0	3186
667	17	3203
668	11	3214
669	26	3240
670	15	3255
671	8	3263
672	1	3264
673	2	3266
674	7	3273
675	12	3285
676	8	3293
677	14	3307
678	10	3317
679	0	3317
680	3	3320
681	10	3330
682	13	3343
683	3	3346
684	3	3349
685	2	3351
686	0	3351
687	0	3351
688	2	3353
689	8	3361
690	2	3363
691	6	3369
692	5	3374
693	2	3376
694	0	3376
695	10	3386
696	15	3401
697	18	3419
698	32	3451
699	24	3475
700	1	3476
701	0	3476
702	8	3484
703	8	3492
704	11	3503
705	10	3513
706	9	3522
707	2	3524
708	0	3524
709	10	3534
710	11	3545
711	12	3557
712	14	3571
713	17	3588
714	2	3590
715	0	3590
716	7	3597
717	13	3610
718	11	3621
719	4	3625
720	13	3638
721	0	3638
722	0	3638
723	7	3645
724	26	3671
725	12	3683
726	15	3698
727	3	3701
728	1	3702
729	0	3702
730	4	3706
731	10	3716
732	26	3742
733	12	3754
734	5	3759
735	1	3760
736	1	3761
737	6	3767
738	6	3773
739	8	3781
740	5	3786
741	8	3794
742	2	3796
743	0	3796
744	5	3801
745	10	3811
746	8	3819
747	15	3834
748	5	3839
749	0	3839
750	0	3839
751	2	3841
752	13	3854
753	2	3856
754	14	3870
755	9	3879
756	0	3879
757	0	3879
758	7	3886
759	3	3889
760	8	3897
761	0	3897
762	1	3898
763	0	3898
764	0	3898
765	6	3904
766	1	3905
767	5	3910
768	2	3912
769	6	3918
770	0	3918
771	0	3918
772	3	3921
773	7	3928
774	0	3928
775	2	3930
776	1	3931
777	0	3931
778	1	3932
779	4	3936
780	7	3943
781	9	3952
782	10	3962
783	5	3967
784	1	3968
785	0	3968
786	6	3974
787	11	3985
788	8	3993
789	4	3997
790	10	4007
791	0	4007
792	1	4008
793	3	4011
794	6	4017
795	4	4021
796	2	4023
797	5	4028
798	1	4029
799	0	4029
800	9	4038
801	1	4039
802	6	4045
803	1	4046
804	3	4049
805	0	4049
806	0	4049
807	6	4055
808	7	4062
809	1	4063
810	21	4084
811	3	4087
812	0	4087
813	0	4087
814	2	4089
815	8	4097
816	9	4106
817	5	4111
818	4	4115
819	0	4115
820	1	4116
821	9	4125
822	8	4133
823	11	4144
824	4	4148
825	16	4164
826	0	4164
827	0	4164
828	34	4198
829	19	4217
830	82	4299
831	11	4310
832	3	4313
833	0	4313
834	0	4313
835	1	4314
836	9	4323
837	5	4328
838	6	4334
839	11	4345
840	0	4345
841	0	4345
842	5	4350
843	6	4356
844	5	4361
845	9	4370
846	4	4374
847	1	4375
848	0	4375
849	0	4375
850	7	4382
851	3	4385
852	0	4385
853	2	4387
854	0	4387
855	0	4387
856	3	4390
857	0	4390
858	7	4397
859	7	4404
860	7	4411
861	0	4411
862	0	4411
863	2	4413
864	2	4415
865	0	4415
866	11	4426
867	3	4429
868	0	4429
869	0	4429
870	5	4434
871	2	4436
872	6	4442
873	2	4444
874	2	4446
875	0	4446
876	0	4446
877	6	4452
878	2	4454
879	5	4459
880	5	4464
881	6	4470
882	0	4470
883	0	4470
884	1	4471
885	5	4476
886	2	4478
887	7	4485
888	7	4492
889	0	4492
890	0	4492
891	3	4495
892	5	4500
893	8	4508
894	7	4515
895	5	4520
896	0	4520
897	0	4520
898	1	4521
899	13	4534
900	2	4536
901	8	4544
902	7	4551
903	0	4551
904	0	4551
905	1	4552
906	5	4557
907	3	4560
908	5	4565
909	9	4574
910	0	4574
911	0	4574
912	1	4575
913	12	4587
914	5	4592
915	5	4597
916	8	4605
917	0	4605
918	0	4605
919	1	4606
920	4	4610
921	9	4619
922	5	4624
923	2	4626
924	0	4626
925	1	4627
926	6	4633
927	5	4638
928	2	4640
929	2	4642
930	0	4642
931	0	4642
932	0	4642
933	1	4643
934	6	4649
935	9	4658
936	8	4666
937	10	4676
938	6	4682
939	0	4682
940	15	4697
941	14	4711
942	3	4714
943	6	4720
944	7	4727
945	1	4728
946	0	4728
947	8	4736
948	7	4743
949	7	4750
950	16	4766
951	7	4773
952	0	4773
953	0	4773
954	2	4775
955	17	4792
956	6	4798
957	9	4807
958	11	4818
959	0	4818
960	0	4818
961	5	4823
962	0	4823
963	4	4827
964	10	4837
965	8	4845
966	0	4845
967	0	4845
968	4	4849
969	4	4853
970	2	4855
971	3	4858
972	24	4882
973	10	4892
974	0	4892
975	8	4900
976	8	4908
977	5	4913
978	11	4924
979	7	4931
980	0	4931
981	0	4931
982	5	4936
983	1	4937
984	1	4938
985	13	4951
986	9	4960
987	0	4960
988	0	4960
989	3	4963
990	3	4966
991	9	4975
992	8	4983
993	8	4991
994	0	4991
995	0	4991
996	7	4998
997	5	5003
998	4	5007
999	7	5014
1000	8	5022
1001	0	5022
1002	0	5022
1003	5	5027
1004	5	5032
1005	8	5040
1006	1	5041
1007	12	5053
1008	0	5053
1009	0	5053
1010	3	5056
1011	2	5058
1012	4	5062
1013	1	5063
1014	5	5068
1015	1	5069
1016	0	5069
1017	1	5070
1018	2	5072
1019	3	5075
1020	0	5075
1021	1	5076
1022	0	5076
1023	0	5076
1024	3	5079
1025	2	5081
1026	3	5084
1027	11	5095
1028	12	5107
1029	0	5107
1030	0	5107
1031	2	5109
1032	1	5110
1033	6	5116
1034	11	5127
1035	4	5131
1036	1	5132
1037	2	5134
1038	8	5142
1039	3	5145
1040	5	5150
1041	4	5154
1042	1	5155
1043	1	5156
1044	1	5157
1045	4	5161
1046	4	5165
1047	1	5166
1048	1	5167
1049	4	5171
1050	0	5171
1051	0	5171
1052	1	5172
1053	2	5174
1054	2	5176
1055	2	5178
1056	0	5178
1057	0	5178
1058	2	5180
1059	0	5180
1060	2	5182
1061	0	5182
1062	2	5184
1063	13	5197
1064	0	5197
1065	0	5197
1066	0	5197
1067	0	5197
1068	0	5197
1069	1	5198
1070	2	5200
1071	0	5200
1072	0	5200
1073	2	5202
1074	0	5202
1075	1	5203
1076	1	5204
1077	3	5207
1078	0	5207
1079	0	5207
1080	16	5223
1081	9	5232
1082	7	5239
1083	18	5257
1084	1	5258
1085	0	5258
1086	0	5258
1087	4	5262
1088	13	5275
1089	0	5275
1090	0	5275
1091	1	5276
1092	0	5276
1093	0	5276
1094	1	5277
1095	2	5279
1096	0	5279
1097	5	5284
1098	1	5285
1099	0	5285
1100	0	5285
1101	0	5285
1102	2	5287
1103	1	5288
1104	3	5291
1105	2	5293
1106	0	5293
1107	0	5293
1108	5	5298
1109	3	5301
1110	4	5305
1111	1	5306
1112	0	5306
1113	0	5306
1114	0	5306
1115	1	5307
1116	3	5310
1117	3	5313
1118	5	5318
1119	6	5324
1120	0	5324
1121	0	5324
1122	0	5324
1123	1	5325
1124	0	5325
1125	0	5325
1126	1	5326
1127	0	5326
1128	0	5326
1129	0	5326
1130	0	5326
1131	0	5326
1132	1	5327
1133	1	5328
1134	0	5328
1135	0	5328
1136	1	5329
1137	0	5329
1138	0	5329
1139	0	5329
1140	0	5329
1141	0	5329
1142	0	5329
1143	0	5329
1144	0	5329
1145	0	5329
1146	0	5329
1147	0	5329
1148	0	5329
1149	1	5330
1150	2	5332
1151	1	5333
1152	0	5333
1153	0	5333
1154	0	5333
1155	0	5333
1156	0	5333
1157	2	5335
1158	2	5337
1159	1	5338
1160	1	5339
1161	2	5341
1162	0	5341
1163	0	5341
1164	2	5343
1165	0	5343
1166	1	5344
1167	4	5348
1168	0	5348
1169	0	5348
1170	0	5348
1171	0	5348
1172	2	5350
1173	7	5357
1174	1	5358
1175	0	5358
1176	0	5358
1177	0	5358
1178	4	5362
1179	2	5364
1180	0	5364
1181	0	5364
1182	0	5364
1183	0	5364
1184	0	5364
1185	0	5364
1186	1	5365
1187	0	5365
1188	0	5365
1189	0	5365
1190	0	5365
1191	0	5365
1192	0	5365
1193	0	5365
1194	0	5365
1195	0	5365
1196	0	5365
1197	0	5365
1198	0	5365
1199	0	5365
1200	2	5367
1201	0	5367
1202	0	5367
1203	0	5367
1204	0	5367
1205	0	5367
1206	1	5368
1207	1	5369
1208	0	5369
1209	1	5370
1210	1	5371
1211	0	5371
1212	0	5371
1213	0	5371
1214	0	5371
1215	0	5371
1216	0	5371
1217	0	5371
1218	0	5371
1219	1	5372
1220	0	5372
1221	1	5373
1222	2	5375
1223	0	5375
1224	0	5375
1225	0	5375
1226	0	5375
1227	2	5377
1228	4	5381
1229	1	5382
1230	1	5383
1231	1	5384
1232	0	5384
1233	0	5384
1234	0	5384
1235	0	5384
1236	2	5386
1237	1	5387
1238	0	5387
1239	0	5387
1240	0	5387
1241	5	5392
1242	5	5397
1243	3	5400
1244	2	5402
1245	0	5402
1246	0	5402
1247	0	5402
1248	30	5432
1249	4	5436
1250	6	5442
1251	8	5450
1252	4	5454
1253	0	5454
1254	0	5454
1255	5	5459
1256	1	5460
1257	1	5461
1258	2	5463
1259	3	5466
1260	0	5466
1261	0	5466
1262	0	5466
1263	1	5467
1264	1	5468
1265	0	5468
1266	0	5468
1267	0	5468
1268	0	5468
1269	2	5470
1270	1	5471
1271	0	5471
1272	1	5472
1273	5	5477
1274	0	5477
1275	0	5477
1276	1	5478
1277	0	5478
1278	0	5478
1279	0	5478
1280	3	5481
1281	0	5481
1282	0	5481
1283	1	5482
1284	22	5504
1285	0	5504
1286	0	5504
1287	0	5504
1288	0	5504
1289	0	5504
1290	1	5505
1291	2	5507
1292	3	5510
1293	1	5511
1294	5	5516
1295	0	5516
1296	0	5516
1297	3	5519
1298	2	5521
1299	3	5524
1300	0	5524
1301	1	5525
1302	0	5525
1303	0	5525
1304	3	5528
1305	1	5529
1306	1	5530
1307	16	5546
1308	0	5546
1309	0	5546
1310	0	5546
1311	1	5547
1312	6	5553
1313	11	5564
1314	3	5567
1315	3	5570
1316	0	5570
1317	0	5570
1318	1	5571
1319	1	5572
1320	5	5577
1321	4	5581
1322	4	5585
1323	0	5585
1324	0	5585
1325	1	5586
1326	3	5589
1327	1	5590
